,audio_filepath,duration,text
27,./dataset/en/clips/common_voice_en_181711.wav,4.44,A curious boy doing science experiments.
28,./dataset/en/clips/common_voice_en_181712.wav,5.904,Two children playing on a statue
29,./dataset/en/clips/common_voice_en_181713.wav,2.904,The person is reading a book.
30,./dataset/en/clips/common_voice_en_181715.wav,3.912,There are five people working at a table.
31,./dataset/en/clips/common_voice_en_181716.wav,7.68,Solitary man in blue shirt driving red semitruck of Khera Transport Corp.
32,./dataset/en/clips/common_voice_en_19707834.wav,7.92,The children are divided into different houses and each house has its own 'amayi'.
33,./dataset/en/clips/common_voice_en_19707835.wav,5.952,Several wrecking companies claim to have invented the wrecking ball.
34,./dataset/en/clips/common_voice_en_19707836.wav,6.552,Dunaway had no amateur boxing background before she turned professional.
35,./dataset/en/clips/common_voice_en_19707838.wav,3.744,This is the Prittwitz coat of arms.
36,./dataset/en/clips/common_voice_en_19707839.wav,7.512,"In the episode Guns Not Butter, Will says he is an Eton valedictorian."
37,./dataset/en/clips/common_voice_en_19945796.wav,5.52,"The building itself is named for West and his wife, Shirley."
38,./dataset/en/clips/common_voice_en_19945797.wav,5.016,O'Connor has also been a lobbyist for several defence companies.
39,./dataset/en/clips/common_voice_en_19945798.wav,5.328,The Shared Learning Trust is made up of the former Barnfield Academy Schools.
40,./dataset/en/clips/common_voice_en_19945799.wav,4.392,The Apostolofs were an artistically inclined family.
41,./dataset/en/clips/common_voice_en_19945800.wav,6.096,These scripts range from historical timelines of the flag to religious themes.
42,./dataset/en/clips/common_voice_en_19643733.wav,8.544,"He was still charming, venerable, and courteous, and full of literary interests."
43,./dataset/en/clips/common_voice_en_19643734.wav,5.76,This decision-in-ignorance models fairness because it excludes selfish bias.
44,./dataset/en/clips/common_voice_en_19643735.wav,5.808,"As such, decision problems may change class if a faster algorithm is discovered."
45,./dataset/en/clips/common_voice_en_19643736.wav,3.12,The capital of the district is Same.
46,./dataset/en/clips/common_voice_en_19643737.wav,5.088,"All five of the ""general electorates"" were won by the General Voters Party."
47,./dataset/en/clips/common_voice_en_19332301.wav,5.544,"Under the name ""Charles F Myer"", he wrote the ""Toffee"" short stories."
48,./dataset/en/clips/common_voice_en_19332302.wav,8.376,Assignment of accession numbers typically occurs at the point of accessioning or cataloging.
49,./dataset/en/clips/common_voice_en_19332303.wav,4.584,The crimson triangle occupies the front.
50,./dataset/en/clips/common_voice_en_19332304.wav,7.104,The road appears to have joined the Fosse Way near Bourton-on-the-Water.
51,./dataset/en/clips/common_voice_en_19332305.wav,9.096,It had subordinate ranges reaching forward at either extremity in a generally symmetrical composition.
52,./dataset/en/clips/common_voice_en_19687170.wav,8.256,He associated with the Formists.
53,./dataset/en/clips/common_voice_en_19687171.wav,7.608,"The ""ultra accelerator"" injection gives Derrick the power he needs to change the past."
54,./dataset/en/clips/common_voice_en_19687172.wav,7.104,"Despite running as a joke, candidates have won the executive race in the past."
55,./dataset/en/clips/common_voice_en_19687173.wav,7.536,"Stoner also guest-starred in the television drama series ""House"" as a skater."
56,./dataset/en/clips/common_voice_en_19687174.wav,4.944,Rainelle was named for the Raine family.
57,./dataset/en/clips/common_voice_en_18490436.wav,3.144,Vanilla cupcakes forever.
58,./dataset/en/clips/common_voice_en_18490437.wav,4.776,Nature taking its toll of the exhausted frame.
59,./dataset/en/clips/common_voice_en_18490439.wav,3.984,You used to joyride like the very devil.
60,./dataset/en/clips/common_voice_en_529569.wav,6.624,He's insane or drunk or something.
61,./dataset/en/clips/common_voice_en_529573.wav,4.416,I've been very busy the last few weeks.
62,./dataset/en/clips/common_voice_en_19663491.wav,9.096,Syrah has been genetically proven to be a cross between Mondeuse Blanche and Dureza.
63,./dataset/en/clips/common_voice_en_19663492.wav,7.584,The current Governor is John Panonetsa Mangudya.
64,./dataset/en/clips/common_voice_en_19663493.wav,7.968,The multi-seat elections also took place during the first round of voting.
65,./dataset/en/clips/common_voice_en_19663494.wav,6.096,It is also common to add a few tablespoons of butter.
66,./dataset/en/clips/common_voice_en_19663495.wav,6.912,The time-line for Salamis is difficult to establish with any certainty.
67,./dataset/en/clips/common_voice_en_19875309.wav,6.216,She would merely see.
68,./dataset/en/clips/common_voice_en_19875310.wav,6.624,"The Chinese, on the other hand, smoked opium in an addictive narcotic manner."
69,./dataset/en/clips/common_voice_en_19875311.wav,4.584,Adding an extra phone without the new sockets was heavy work.
70,./dataset/en/clips/common_voice_en_19875312.wav,6.744,The formations become narrower due to erosion over geologic time scales.
71,./dataset/en/clips/common_voice_en_19875313.wav,3.336,Orchestra conducted by David Palmer.
72,./dataset/en/clips/common_voice_en_18519683.wav,5.376,Did I possess too much vitality.
73,./dataset/en/clips/common_voice_en_18519687.wav,4.584,"These things take it out of one, don't they?"
74,./dataset/en/clips/common_voice_en_18519689.wav,3.696,She may have loved me once.
75,./dataset/en/clips/common_voice_en_18519691.wav,5.856,"""Babies come from amazon.com,"" he deadpanned."
76,./dataset/en/clips/common_voice_en_18519692.wav,5.664,"The flat consisted of a lounge, kitchen and two bedrooms."
77,./dataset/en/clips/common_voice_en_18433998.wav,4.272,"It was all right, after all."
78,./dataset/en/clips/common_voice_en_18433999.wav,3.216,Glad you're back at last.
79,./dataset/en/clips/common_voice_en_18434000.wav,3.888,"She lives in Scotland, in Edinburgh"
80,./dataset/en/clips/common_voice_en_18434002.wav,6.144,At the same time spears and arrows began to fall among the invaders.
81,./dataset/en/clips/common_voice_en_18421093.wav,4.368,He is a climate change sceptic. Good grief!
82,./dataset/en/clips/common_voice_en_18421094.wav,3.624,The director wasn't happy with the change.
83,./dataset/en/clips/common_voice_en_18421095.wav,4.512,The roof has been patched up many times over the years.
84,./dataset/en/clips/common_voice_en_18421096.wav,4.344,Building your house on sand is not recommended.
85,./dataset/en/clips/common_voice_en_18421097.wav,6.216,"Catherine, contented at first, in a brief space grew irritable and restless."
86,./dataset/en/clips/common_voice_en_19347205.wav,4.536,It is now the New England Southern Railroad.
87,./dataset/en/clips/common_voice_en_19347206.wav,5.544,The tournament gave rise to a large competitive play scene for the franchise.
88,./dataset/en/clips/common_voice_en_19347207.wav,5.064,They intended to crush the MacDonalds and make Ranald the chief.
89,./dataset/en/clips/common_voice_en_19347208.wav,5.976,"In addition to cricket, Weekes was also a keen football player, representing Barbados."
90,./dataset/en/clips/common_voice_en_19347209.wav,7.104,"In a subsequent draft, it was changed to ""Conducting the Critical Analysis Activity""."
91,./dataset/en/clips/common_voice_en_19621206.wav,5.712,"They began work on ""Mother"", which released in July."
92,./dataset/en/clips/common_voice_en_19621208.wav,6.6,"Rau enjoys cooking, gardening and reading non-fiction."
93,./dataset/en/clips/common_voice_en_19621212.wav,6.984,"His legacy, however, would come from his career as a manager."
94,./dataset/en/clips/common_voice_en_19621214.wav,5.832,"Located mostly in Sarajevo, the capital of Bosnia."
95,./dataset/en/clips/common_voice_en_19621215.wav,5.28,The crossstreets focused on the civic center.
96,./dataset/en/clips/common_voice_en_19529168.wav,8.832,The B line runs along the town's northern border of Commonwealth Avenue in Allston.
97,./dataset/en/clips/common_voice_en_19529169.wav,4.944,The re-dubbed theme song was played by Mike Remedios.
98,./dataset/en/clips/common_voice_en_19529170.wav,6.696,"Each is assembled by secondary manufacturers, and housed in chassis of their own design."
99,./dataset/en/clips/common_voice_en_19529171.wav,5.784,"Markowitz continued promoting affordable housing, as he had in the Senate."
100,./dataset/en/clips/common_voice_en_19529172.wav,6.528,"He then co-authored the book ""Seven Summits"", which covered the undertaking."
101,./dataset/en/clips/common_voice_en_19709068.wav,6.288,Hence large publishers do not generally use thermoforms.
102,./dataset/en/clips/common_voice_en_19709071.wav,7.488,"Benson has one public school, which offers classes from pre-school through eighth grade."
103,./dataset/en/clips/common_voice_en_19709072.wav,6.648,Other family members in racing include Deacon Gerhart and Dave Gerhart.
104,./dataset/en/clips/common_voice_en_19709075.wav,7.392,They represent a legitimate effect that a complete theory often implies.
105,./dataset/en/clips/common_voice_en_19709078.wav,5.688,Zee Motion Pictures also operates Zee Limelight.
106,./dataset/en/clips/common_voice_en_19981424.wav,6.552,"The voice of this species is a shrill ""ki-ki-ki-ki""."
107,./dataset/en/clips/common_voice_en_19981425.wav,8.352,"The would-be-superhero was also mentioned on ""Have I Got News For You""."
108,./dataset/en/clips/common_voice_en_19981426.wav,6.432,"In baseball, he was an Honorable Mention All-Conference center fielder."
109,./dataset/en/clips/common_voice_en_19981428.wav,6.048,"Therefore, Maria Carolina arranged a meeting with the Pope."
110,./dataset/en/clips/common_voice_en_19981429.wav,6.744,"Thus the mainstem flows through undeveloped, protected lands."
111,./dataset/en/clips/common_voice_en_18841721.wav,6.792,This used to stretch to a long border with Islington and Stoke Newington.
112,./dataset/en/clips/common_voice_en_18841722.wav,6.072,"An elder brother, Wolfe Morris, was also an accomplished actor."
113,./dataset/en/clips/common_voice_en_18841723.wav,5.712,It is only available for versions of Microsoft Windows.
114,./dataset/en/clips/common_voice_en_18841724.wav,8.208,The fugal overture leads attacca to the first choral movement.
115,./dataset/en/clips/common_voice_en_18841725.wav,4.752,There were repeated shoots of his catch phrase Fuuuu!
116,./dataset/en/clips/common_voice_en_19752320.wav,5.28,Fairfield has many events.
117,./dataset/en/clips/common_voice_en_19752321.wav,5.232,He was temporarily detained until he was released on Park's order.
118,./dataset/en/clips/common_voice_en_19752322.wav,6.288,The Russian pavilion had a naval section designed by Viktor Hartmann.
119,./dataset/en/clips/common_voice_en_19752323.wav,4.416,The time was evening; the scene the garden.
120,./dataset/en/clips/common_voice_en_19752324.wav,3.936,"But it was a chance, the only possible chance."
121,./dataset/en/clips/common_voice_en_20056275.wav,4.68,Church is best known as a leader of liberal religion.
122,./dataset/en/clips/common_voice_en_20056276.wav,4.464,"Another positive review was posted on ""Entertainment Weekly""."
123,./dataset/en/clips/common_voice_en_20056277.wav,3.672,Go-go bars feature women dancing on a stage.
124,./dataset/en/clips/common_voice_en_20056278.wav,3.672,Such vehicles held a lucrative market at the time.
125,./dataset/en/clips/common_voice_en_20056279.wav,5.136,The three branches maintain staff offices to manage operations in their branches.
126,./dataset/en/clips/common_voice_en_19620197.wav,8.064,"The container format can also contain synchronization information, subtitles, and metadata such as title."
127,./dataset/en/clips/common_voice_en_19620198.wav,5.568,The band focused more on funk and alternative rock than traditional metal.
128,./dataset/en/clips/common_voice_en_19620199.wav,6.168,Oak Forest's public schools are operated by Houston Independent School District.
129,./dataset/en/clips/common_voice_en_19620200.wav,5.016,Many intersections are named because of local points of interest.
130,./dataset/en/clips/common_voice_en_19620201.wav,6.816,This phallus is associated with prolonged matings enforced by a copulatory tie.
131,./dataset/en/clips/common_voice_en_19708525.wav,7.752,"Amtrak, the national passenger rail service, provides service to Montgomery from the Cardinal route."
132,./dataset/en/clips/common_voice_en_19708528.wav,7.08,Trucks of this period are commonly referred to as Unic-Simca trucks.
133,./dataset/en/clips/common_voice_en_19708531.wav,6.552,"In the last several years, tourism has brought renewed prosperity to the area."
134,./dataset/en/clips/common_voice_en_19708534.wav,7.032,"This declension contains nouns that are masculine, feminine, and neuter."
135,./dataset/en/clips/common_voice_en_19708535.wav,5.472,The school has been home to many different particle accelerators over the years.
136,./dataset/en/clips/common_voice_en_19366728.wav,4.176,It should be kept away from animals and children.
137,./dataset/en/clips/common_voice_en_19366729.wav,7.416,"His teachers have included Frank Battisti, Gunther Schuller, and Craig Kirchhoff."
138,./dataset/en/clips/common_voice_en_19366730.wav,5.904,"Amanda is furious with this prank, and a three-way fight ensues."
139,./dataset/en/clips/common_voice_en_19366731.wav,5.016,He is the older brother of veteran actor John Pankow.
140,./dataset/en/clips/common_voice_en_19366732.wav,4.416,However he left to start on his own in Vaudeville.
141,./dataset/en/clips/common_voice_en_81260.wav,3.744,Your crew will do the mop up job.
142,./dataset/en/clips/common_voice_en_81264.wav,1.944,What day is it?
143,./dataset/en/clips/common_voice_en_18852987.wav,7.392,Kitson's work was the first to apply empirical psychology to advertising.
144,./dataset/en/clips/common_voice_en_18852990.wav,7.032,"Currently, however, humanism is dominated almost exclusively by secular humanism."
145,./dataset/en/clips/common_voice_en_18852992.wav,5.664,Step-free access to the platform is available via ramp.
146,./dataset/en/clips/common_voice_en_18852993.wav,5.856,"Stocksfield has a first school, which is Broomley First School."
147,./dataset/en/clips/common_voice_en_18852994.wav,5.736,None of the fourth series of Restatements have been completed.
148,./dataset/en/clips/common_voice_en_552349.wav,6.144,Bitcoin mining can be done with graphic cards or with specialized hardware.
149,./dataset/en/clips/common_voice_en_552351.wav,4.776,I wish I was up there with them.
150,./dataset/en/clips/common_voice_en_552353.wav,6.264,"While I am not worried about job security, having fewer people means a heavier workload."
151,./dataset/en/clips/common_voice_en_19093168.wav,5.016,The Judge Advocate General is a lieutenant general.
152,./dataset/en/clips/common_voice_en_19093169.wav,4.824,"He moved to Parramatta, in western Sydney, as a child."
153,./dataset/en/clips/common_voice_en_19093171.wav,6.936,"Annually, Montgomery Bell Academy hosts its speech and debate tournament, the Southern Bell Forum."
154,./dataset/en/clips/common_voice_en_19093172.wav,5.784,It draws the clavicle inferiorly as well as anteriorly.
155,./dataset/en/clips/common_voice_en_19093173.wav,7.416,"Adangme occupations are fishing, trading and farming which is based on the huza system."
156,./dataset/en/clips/common_voice_en_18740263.wav,6.168,In general the Spanish paid little attention to Corisco.
157,./dataset/en/clips/common_voice_en_18740264.wav,8.664,"At Bound for Glory, Lethal successfully defended the X Division Championship against Douglas Williams."
158,./dataset/en/clips/common_voice_en_18740265.wav,6.864,After a disappointing final season with the White Sox which saw Simmons bat just.
159,./dataset/en/clips/common_voice_en_18740266.wav,7.008,Some Cinsaut is planted in California as Black Malvoisie.
160,./dataset/en/clips/common_voice_en_18740267.wav,5.904,The average Jewish population in Yemen for many centuries was very small.
161,./dataset/en/clips/common_voice_en_19183522.wav,7.176,This was the first Christian movement where Latvians become involved voluntarily.
162,./dataset/en/clips/common_voice_en_19183523.wav,4.896,The word is also used for a high quality woolen woven fabric.
163,./dataset/en/clips/common_voice_en_19183524.wav,4.824,When he returned to action he was named the captain.
164,./dataset/en/clips/common_voice_en_19183525.wav,3.504,News coverage of the event was worldwide.
165,./dataset/en/clips/common_voice_en_19183526.wav,5.016,He was also a member of the Popular Front's executive committee.
166,./dataset/en/clips/common_voice_en_19430240.wav,7.392,There are two central obstacles.
167,./dataset/en/clips/common_voice_en_19430241.wav,5.76,This series combines the two to tell a story.
168,./dataset/en/clips/common_voice_en_19430242.wav,8.112,"The tournament was won by Heimowitz, who defeated Lederer in heads-up play."
169,./dataset/en/clips/common_voice_en_19430243.wav,7.056,"There, they met Camille Jordan and Gaston Darboux."
170,./dataset/en/clips/common_voice_en_19430244.wav,8.352,A unit of his cavalry engaged in reconnoitering around Cibolo Creek in mid-October.
171,./dataset/en/clips/common_voice_en_1442.wav,5.736,A man standing in a kitchen with dishwasher and silverware drawer open.
172,./dataset/en/clips/common_voice_en_1443.wav,6.264,A man and woman in masks and costume make a toast in front of a christmas tree.
173,./dataset/en/clips/common_voice_en_1444.wav,5.496,Motorcycles are parked behind a fence on a crowded street.
174,./dataset/en/clips/common_voice_en_1445.wav,5.976,Two shelves loaded with various novelty perfume bottles.
175,./dataset/en/clips/common_voice_en_1446.wav,4.224,"a woman and a man, outside, enjoying each others company."
176,./dataset/en/clips/common_voice_en_19736356.wav,8.592,"The tribal offices are located in Belcourt, North Dakota."
177,./dataset/en/clips/common_voice_en_19736357.wav,7.032,In Nordenham there is a train station with several connections per day to Bremen.
178,./dataset/en/clips/common_voice_en_19736358.wav,6.768,The nebula's color depends on its chemical composition and degree of ionization.
179,./dataset/en/clips/common_voice_en_19736359.wav,5.184,He grew up in the southeastern Colorado town of Holly.
180,./dataset/en/clips/common_voice_en_19736362.wav,7.824,"After assuring Benedict that the casino is secure, the officers depart at Benedict's insistence."
181,./dataset/en/clips/common_voice_en_18687169.wav,9.576,Those branches are currently known as the Nieuwe Maas and Oude Maas.
182,./dataset/en/clips/common_voice_en_18687172.wav,7.032,"Walkinshaw's first television appearance was as an extra in ""Grange Hill""."
183,./dataset/en/clips/common_voice_en_18687174.wav,6.12,"and then went into semi-retirement, living in California."
184,./dataset/en/clips/common_voice_en_18687175.wav,7.56,"After closing in, Barrichello passed Räikkönen after pressuring him into a mistake."
185,./dataset/en/clips/common_voice_en_18687176.wav,7.632,Semiempirical calculations are usually carried out in a minimal basis set.
186,./dataset/en/clips/common_voice_en_19687217.wav,7.248,"However, Stone Age activity has been recorded in the area."
187,./dataset/en/clips/common_voice_en_19687221.wav,6.72,The division consisted mainly of Bavarians and some Austrians.
188,./dataset/en/clips/common_voice_en_19687222.wav,4.848,This is used to browse geotagged articles.
189,./dataset/en/clips/common_voice_en_19687223.wav,4.704,Her older brother is actor Philip McKeon.
190,./dataset/en/clips/common_voice_en_19687224.wav,4.968,The Machbet is in service in the Israeli Air Force.
191,./dataset/en/clips/common_voice_en_19946929.wav,6.816,Bacillary dysentery should not be confused with diarrhea caused by other bacterial infections.
192,./dataset/en/clips/common_voice_en_19946930.wav,6.384,Some of these issues are epistemological concerns about the methodology of psychological investigation.
193,./dataset/en/clips/common_voice_en_19946931.wav,4.128,No other performing artists had received the award more than once.
194,./dataset/en/clips/common_voice_en_19946932.wav,5.76,"However, depending on the meditational tradition, these vary between three and six."
195,./dataset/en/clips/common_voice_en_19946933.wav,5.64,"People turned to liberal ideas: the idea of liberty, equality, and popular sovereignty."
196,./dataset/en/clips/common_voice_en_18400794.wav,7.344,"The house was built of brick, stone and metal, and had plastic window frames."
197,./dataset/en/clips/common_voice_en_18400795.wav,2.64,That's the name.
198,./dataset/en/clips/common_voice_en_18400796.wav,3.936,"No, no, Gussie, old man."
199,./dataset/en/clips/common_voice_en_18400803.wav,5.448,All job applications must be accompanied by a curriculum vitae
200,./dataset/en/clips/common_voice_en_19634497.wav,7.848,The main musical theme is adapted from Claude Debussy's Golliwogg's Cakewalk.
201,./dataset/en/clips/common_voice_en_19634498.wav,5.328,Artists are also responsible for the costs of print production.
202,./dataset/en/clips/common_voice_en_19634499.wav,6.408,"Schwerin, accompanied by General Winterfeldt, was finally prepared to attack."
203,./dataset/en/clips/common_voice_en_19634500.wav,7.32,This much scrutinized verse contains part of Jesus' teachings on the issue of divorce.
204,./dataset/en/clips/common_voice_en_19634501.wav,5.28,Today a wide range of beading styles flourish.
205,./dataset/en/clips/common_voice_en_18568963.wav,4.824,His chin dropped as he stared at me.
206,./dataset/en/clips/common_voice_en_18568965.wav,5.304,"""For the last time,"" she pleaded to herself."
207,./dataset/en/clips/common_voice_en_18568967.wav,8.4,"This supermarket sells shoes, food, nappies, car parts... the works!."
208,./dataset/en/clips/common_voice_en_18568968.wav,4.2,This a forum for experts.
209,./dataset/en/clips/common_voice_en_18568969.wav,5.712,The couple adopted a baby and loved it as their own.
210,./dataset/en/clips/common_voice_en_19761664.wav,5.352,Of course the posts and the bars are!
211,./dataset/en/clips/common_voice_en_19761665.wav,4.104,The song peaked at number four in Japan.
212,./dataset/en/clips/common_voice_en_19761666.wav,7.2,"In either case, such redirection may make your doorway pages unacceptable to search engines."
213,./dataset/en/clips/common_voice_en_19761668.wav,7.176,In Europe it also found a home in the Honda Ballade-based Triumph Acclaim.
214,./dataset/en/clips/common_voice_en_19761670.wav,4.056,He was quickly tried and condemned to death.
215,./dataset/en/clips/common_voice_en_19982933.wav,5.664,"Aside from his club contract, he has many endorsement deals."
216,./dataset/en/clips/common_voice_en_19982934.wav,5.736,Steam Whistle maintains a promotions fleet used to market their products.
217,./dataset/en/clips/common_voice_en_19982935.wav,3.192,Berger supported this.
218,./dataset/en/clips/common_voice_en_19982936.wav,4.44,Shooting of the entire show was held in Surat.
219,./dataset/en/clips/common_voice_en_19982937.wav,5.976,Steele won the Republican nomination after facing little opposition in the primary.
220,./dataset/en/clips/common_voice_en_19792923.wav,7.704,They capitalized on this sentiment in their plans.
221,./dataset/en/clips/common_voice_en_19792924.wav,8.136,"Saunders was born in Farnborough, Hampshire, the son of a British Army officer."
222,./dataset/en/clips/common_voice_en_19792925.wav,5.616,Alexandrina Council has a directly elected mayor.
223,./dataset/en/clips/common_voice_en_19792926.wav,7.296,"Lead vocal duties were shared between Ballard, Rodford and Argent."
224,./dataset/en/clips/common_voice_en_19792927.wav,6.816,"Daily thundershowers are common in the hot season, though they are brief."
225,./dataset/en/clips/common_voice_en_116606.wav,3.768,Where's your coat and hat?
226,./dataset/en/clips/common_voice_en_20072318.wav,7.104,"Sometimes, private banking customers are given cash management services."
227,./dataset/en/clips/common_voice_en_20072319.wav,4.512,"In this way, the title was quietly retired."
228,./dataset/en/clips/common_voice_en_20072320.wav,5.736,"In the above example, ""humans"", ""mortal"", and ""Greeks""."
229,./dataset/en/clips/common_voice_en_20072321.wav,8.064,"This type of ""indigenist literature"" would become commonplace in Latin America in later years."
230,./dataset/en/clips/common_voice_en_20072322.wav,7.56,Palumbo is currently chairman of the jury of the Pritzker Prize for Architecture.
231,./dataset/en/clips/common_voice_en_18476466.wav,4.896,It would give me nervous prostration.
232,./dataset/en/clips/common_voice_en_18476467.wav,5.712,He felt rather overwrought the next morning.
233,./dataset/en/clips/common_voice_en_19941788.wav,4.08,It was descended from uwm.
234,./dataset/en/clips/common_voice_en_19941789.wav,5.808,Ridges and cut marks on bones can prove their use for the task.
235,./dataset/en/clips/common_voice_en_19941790.wav,4.896,"Like Pacific Western, Transair comprised several companies."
236,./dataset/en/clips/common_voice_en_19941791.wav,3.768,"Barks is a native of Chattanooga, Tennessee."
237,./dataset/en/clips/common_voice_en_19941792.wav,5.64,The fascination with Kapell's playing has continued in the decades since his death.
238,./dataset/en/clips/common_voice_en_169415.wav,7.536,a black dog is jumping over a white fence whilst taking part in a dog show.
239,./dataset/en/clips/common_voice_en_169416.wav,4.464,A small boys dumps water on a baby.
240,./dataset/en/clips/common_voice_en_169417.wav,5.304,Here are some elderly people sitting on the bench in the park.
241,./dataset/en/clips/common_voice_en_169419.wav,5.424,A kid in a purple outfit is in the bridge position .
242,./dataset/en/clips/common_voice_en_169420.wav,4.296,"Little girl, dressed up, playing with balls at party."
243,./dataset/en/clips/common_voice_en_659556.wav,3.6,Got to get some practice.
244,./dataset/en/clips/common_voice_en_659557.wav,3.984,We'll get you out in ten minutes.
245,./dataset/en/clips/common_voice_en_19640446.wav,5.904,Other habitat types include wetlands and cropland.
246,./dataset/en/clips/common_voice_en_19640447.wav,4.224,No decision was ever passed into law.
247,./dataset/en/clips/common_voice_en_19640448.wav,3.72,We think it no scandal.
248,./dataset/en/clips/common_voice_en_19640449.wav,4.512,Andrew Clarke has won two Logie Awards.
249,./dataset/en/clips/common_voice_en_19640450.wav,6.528,He talks about the pain he went through pitching in the Major Leagues.
250,./dataset/en/clips/common_voice_en_18839241.wav,6.144,He would often faint because of weakness.
251,./dataset/en/clips/common_voice_en_18839242.wav,4.968,He played a further two league games that season.
252,./dataset/en/clips/common_voice_en_18839243.wav,7.32,It was rumoured Bigas Luna was originally offered the directors chair for the film.
253,./dataset/en/clips/common_voice_en_18839244.wav,5.496,There are numerous other Sports Halls of Fames in Canada.
254,./dataset/en/clips/common_voice_en_18839245.wav,5.976,"Despite these other projects, Loutherbourg still found time for painting."
255,./dataset/en/clips/common_voice_en_19682272.wav,8.28,"Without another choice, Kirk and the others plan strategies and begin to manufacture spears."
256,./dataset/en/clips/common_voice_en_19682276.wav,3.552,Can't you tell?
257,./dataset/en/clips/common_voice_en_19682277.wav,4.704,This was two years after the previous post office shop closed.
258,./dataset/en/clips/common_voice_en_19682278.wav,7.152,"Blazon: Azure, six ermines courant argent, tail-tips sable."
259,./dataset/en/clips/common_voice_en_19682280.wav,6.024,The openings are collectively referred to as cisterns.
260,./dataset/en/clips/common_voice_en_17753911.wav,5.76,Control an active connection multiplexing master process.
261,./dataset/en/clips/common_voice_en_17753912.wav,6.144,"But recently, the view has been replaced by a more nuanced explanation."
262,./dataset/en/clips/common_voice_en_18801456.wav,5.376,The Sunrise Period was broken into two phases.
263,./dataset/en/clips/common_voice_en_18801457.wav,5.304,This neighborhood is home to five government housing projects.
264,./dataset/en/clips/common_voice_en_18801458.wav,5.496,The site was the American company's first venture in Europe.
265,./dataset/en/clips/common_voice_en_18801459.wav,5.304,He is commonly associated with the eagle or hawk.
266,./dataset/en/clips/common_voice_en_18801460.wav,5.136,It seems that the project was abandoned at this stage.
267,./dataset/en/clips/common_voice_en_19955200.wav,6.264,He was a teacher and marketing consultant before entering politics.
268,./dataset/en/clips/common_voice_en_19955201.wav,3.072,He also performed on Broadway.
269,./dataset/en/clips/common_voice_en_19955202.wav,4.848,Neighbouring Austria proposed a ban in the same month.
270,./dataset/en/clips/common_voice_en_19955203.wav,3.912,It continues under hostess Angie Austin.
